game_date,game_pk,pitcher_id,player,team,opponent,Opponent_K_Rate,Opponent_K_Delta_PP,Matchup_PA,Lineup_State,Data_Quality,Quality_Band,Neutral_Opponent_Projection,Applied_Projection,Matchup_Adjustment_K,Actual_Strikeouts,Cap_K,Capped_Adjustment_K,Cap_Was_Binding,Capped_Projection,Applied_Absolute_Error,Capped_Absolute_Error,Neutral_Absolute_Error,Applied_Error,Capped_Error,Neutral_Error,Capped_Win_vs_Applied,Applied_Win_vs_Capped,Capped_Applied_Tie,Capped_Win_vs_Neutral,Neutral_Win_vs_Capped,Capped_Neutral_Tie,Evidence_Lane,Counts_For_Promotion,Report_Only,Production_Authority,Validation_Version
2026-08-17,824641,684007,Shota Imanaga,CHC,CHW,0.2323234418901656,0.832344189016565,889.0,CONFIRMED,79,70–79,5.22210944432129,5.318246670709621,0.0961372263883317,10.0,0.1,0.0961372263883317,False,5.318246670709621,4.681753329290379,4.681753329290379,4.77789055567871,-4.681753329290379,-4.681753329290379,-4.77789055567871,False,False,True,True,False,False,FORWARD_OOS,True,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-17,824320,605483,Blake Snell,LAD,COL,0.2410676307093894,1.706763070938941,865.0,CONFIRMED,64,60–69,5.165468971515177,5.358647602224803,0.1931786307096255,5.0,0.1,0.1,True,5.265468971515177,0.35864760222480285,0.265468971515177,0.16546897151517737,0.35864760222480285,0.265468971515177,0.16546897151517737,True,False,False,False,True,False,FORWARD_OOS,True,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-17,824514,687273,Quinn Mathews,STL,CIN,0.2426701971652553,1.867019716525531,675.0,CONFIRMED,46,<60,5.18583301637125,5.397625398488667,0.2117923821174168,7.0,0.1,0.1,True,5.2858330163712495,1.6023746015113334,1.7141669836287505,1.8141669836287502,-1.6023746015113334,-1.7141669836287505,-1.8141669836287502,False,True,False,True,False,False,FORWARD_OOS,True,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-17,824478,669467,Andre Pallante,STL,CIN,0.2519924098671727,2.799240986717269,2635.0,PROJECTED/ROSTER,70,70–79,4.747618164973832,5.035533662626852,0.28791549765302,5.0,0.1,0.1,True,4.847618164973832,0.03553366262685209,0.1523818350261683,0.25238183502616796,0.03553366262685209,-0.1523818350261683,-0.25238183502616796,False,True,False,True,False,False,FORWARD_OOS,True,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-18,824803,607074,Carlos Rodón,NYY,BAL,0.2532288058184542,2.9228805818454244,846.0,CONFIRMED,79,70–79,5.281365024529709,5.61537454976998,0.3340095252402708,4.0,0.1,0.1,True,5.381365024529709,1.6153745497699799,1.3813650245297087,1.281365024529709,1.6153745497699799,1.3813650245297087,1.281365024529709,True,False,False,False,True,False,FORWARD_OOS,True,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-18,824803,669358,Shane Baz,BAL,NYY,0.2443381865349852,2.0338186534985203,2170.0,CONFIRMED,79,70–79,5.184721428985547,5.414982918719831,0.2302614897342838,10.0,0.1,0.1,True,5.284721428985547,4.585017081280169,4.715278571014453,4.815278571014453,-4.585017081280169,-4.715278571014453,-4.815278571014453,False,True,False,True,False,False,FORWARD_OOS,True,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-18,823341,672456,Keider Montero,DET,PIT,0.2388399289693152,1.4839928969315186,1961.0,CONFIRMED,74,70–79,4.506305639492984,4.653182668769521,0.1468770292765366,3.0,0.1,0.1,True,4.606305639492984,1.6531826687695208,1.6063056394929838,1.5063056394929841,1.6531826687695208,1.6063056394929838,1.5063056394929841,True,False,False,False,True,False,FORWARD_OOS,True,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-18,824398,656492,Foster Griffin,CLE,SFG,0.2484994837249425,2.449948372494257,423.0,CONFIRMED,79,70–79,5.183658202753452,5.459779377135535,0.2761211743820837,6.0,0.1,0.1,True,5.283658202753451,0.5402206228644646,0.7163417972465487,0.8163417972465483,-0.5402206228644646,-0.7163417972465487,-0.8163417972465483,False,True,False,True,False,False,FORWARD_OOS,True,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-18,824475,681517,Kyle Leahy,STL,CIN,0.2514447443843592,2.7444744384359203,2224.0,CONFIRMED,78,70–79,4.663000339515083,4.94040689536778,0.2774065558526972,6.0,0.1,0.1,True,4.763000339515083,1.0595931046322198,1.2369996604849174,1.336999660484917,-1.0595931046322198,-1.2369996604849174,-1.336999660484917,False,True,False,True,False,False,FORWARD_OOS,True,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-18,823586,592662,Robbie Ray,SDP,NYM,0.2316103900666641,0.7610390066664169,785.0,CONFIRMED,78,70–79,4.8514450871538095,4.933170546179699,0.0817254590258897,4.0,0.1,0.0817254590258897,False,4.933170546179699,0.9331705461796993,0.9331705461796993,0.8514450871538095,0.9331705461796993,0.9331705461796993,0.8514450871538095,False,False,True,False,True,False,FORWARD_OOS,True,True,NONE,opponent-matchup-boost-cap-shadow-v1
