game_date,captured_at_utc,Milestone,Actual_Hit,Prior_Eligible_Starts,Candidate_SIM_Weight,Candidate_MATH_Weight,Baseline_Probability,Candidate_Probability,Baseline_Brier,Candidate_Brier,Candidate_Won,Replay_Version
2026-08-14,2026-08-14T19:41:16.099033+00:00,4,0.0,43,0.4277777777777778,0.5722222222222222,0.574144754397713,0.5711843300329382,0.32964219900241015,0.3262515388751765,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:16.099033+00:00,5,0.0,43,0.4277777777777778,0.5722222222222222,0.3904078190187221,0.38959428176587085,0.1524182651509553,0.15178370438466476,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:16.099033+00:00,6,0.0,43,0.4277777777777778,0.5722222222222222,0.2374992932346381,0.23893496892408583,0.05640591428695261,0.05708991937475386,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:16.099033+00:00,7,0.0,43,0.5722222222222222,0.4277777777777778,0.13120315230048246,0.128695141412635,0.017214267173583597,0.01656243942321812,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:16.099033+00:00,8,0.0,43,0.5722222222222222,0.4277777777777778,0.06726842427394025,0.06485498521214889,0.004525040904298834,0.004206169106868051,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:16.099033+00:00,9,0.0,43,0.4277777777777778,0.5722222222222222,0.03266616424186355,0.034449499076799395,0.0010670782862764047,0.0011867679866424024,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:16.099033+00:00,10,0.0,43,0.4277777777777778,0.5722222222222222,0.0153908096437932,0.016493037703452215,0.00023687702149147776,0.0002720202926874963,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T20:05:24.679227+00:00,3,1.0,43,0.4277777777777778,0.5722222222222222,0.9247357716527713,0.9220918275581718,0.005664704068703781,0.006069683333225645,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T20:05:24.679227+00:00,4,1.0,43,0.4277777777777778,0.5722222222222222,0.8257240609498924,0.8219459808648769,0.03037210293179683,0.031703233730170775,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T20:05:24.679227+00:00,5,1.0,43,0.4277777777777778,0.5722222222222222,0.684890322060145,0.6810669241354992,0.09929410913135914,0.10171830688039143,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T20:05:24.679227+00:00,6,0.0,43,0.4277777777777778,0.5722222222222222,0.5193799813333606,0.5172046453037349,0.269755565009842,0.2675006451237622,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T20:05:24.679227+00:00,7,0.0,43,0.5722222222222222,0.4277777777777778,0.3576442913946182,0.35736056041539555,0.12790943916715855,0.12770657014040557,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T20:05:24.679227+00:00,8,0.0,43,0.5722222222222222,0.4277777777777778,0.2250491659780677,0.22296206422568016,0.05064712710742387,0.049712082083776324,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T20:05:24.679227+00:00,9,0.0,43,0.4277777777777778,0.5722222222222222,0.12963622798435526,0.1325245720265399,0.016805551606011732,0.01756276219081756,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T20:05:24.679227+00:00,10,0.0,43,0.4277777777777778,0.5722222222222222,0.0698364983194361,0.07247643696557687,0.004877136497520601,0.005252833915225238,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T20:05:25.424227+00:00,3,0.0,43,0.4277777777777778,0.5722222222222222,0.8882706657642869,0.8869462063746838,0.7890247756573295,0.7866735730024432,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T20:05:25.424227+00:00,4,0.0,43,0.4277777777777778,0.5722222222222222,0.7540970554350896,0.7522621856646026,0.5686623690158726,0.565898395980885,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T20:05:25.424227+00:00,5,0.0,43,0.4277777777777778,0.5722222222222222,0.5766702881538788,0.5753804408872168,0.3325486212394776,0.33106265175556804,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T20:05:25.424227+00:00,6,0.0,43,0.4277777777777778,0.5722222222222222,0.393422728607239,0.393287344961618,0.1547814433847652,0.1546749357069587,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T20:05:25.424227+00:00,7,0.0,43,0.5722222222222222,0.4277777777777778,0.2412574075792624,0.24071178204003563,0.058205136711866334,0.05794216201288962,True,calibration-shadow-replay-v1
