Game_Date,Pitcher,Pitcher_ID,Projection,K_Target,Target_Label,Projection_Headroom,Actual_K,Ladder_Win,Target_Probability,Brier,Confidence,Data_Quality,Opponent_K_Pct,Headroom_Bucket,Quality_Bucket,Opponent_K_Bucket,Report_Only,Production_Authority,No_Projection_Adjustment,Research_Version
2026-08-15,Ian Seymour,693855,5.399951571868048,5,5+,0.39995157186804775,9.0,True,0.6012879360608815,0.15897130993059172,HIGH,65,25.31342791309677,0.25-0.49,50-74,HIGH_K_25+,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Ryan Gusto,687473,4.531679633410276,4,4+,0.5316796334102758,6.0,True,0.6578910201675283,0.11703855408201452,HIGH,79,24.735702548816,0.50-0.74,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Brady Singer,663903,5.221973800020474,5,5+,0.22197380002047407,4.0,False,0.6048801964687986,0.36588005208013247,HIGH,78,23.56241731301588,0.00-0.24,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Joey Cantillo,676282,4.399320485164076,4,4+,0.39932048516407637,7.0,True,0.6243921683583048,0.14108124319057605,HIGH,79,20.987560174294828,0.25-0.49,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Emerson Hancock,676106,5.06781795311276,5,5+,0.06781795311276007,8.0,True,0.5584341572079332,0.19498039352066823,HIGH,77,21.287779888728707,0.00-0.24,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Hayden Wesneski,669713,4.639624601441137,4,4+,0.6396246014411373,6.0,True,0.6741316378269955,0.10619018946531644,MEDIUM,58,19.68465309634883,0.50-0.74,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Jesús Luzardo,666200,6.146693838277013,6,6+,0.1466938382770131,9.0,True,0.5738785480019722,0.18157949185290748,HIGH,79,20.40438615745381,0.00-0.24,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Connor Prielipp,687570,5.01449363583585,5,5+,0.014493635835849616,6.0,True,0.5646351894209218,0.1895425182905566,HIGH,68,21.043805828615547,0.00-0.24,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Sonny Gray,543243,5.404713263895313,5,5+,0.4047132638953128,7.0,True,0.6162312927165359,0.14727842069002117,HIGH,77,22.49866327539845,0.25-0.49,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Jared Jones,683003,4.369522756824493,4,4+,0.36952275682449276,7.0,True,0.6421318657873842,0.12806960148481877,HIGH,64,20.05680070777109,0.25-0.49,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Eduardo Rodriguez,593958,5.003575211179797,5,5+,0.0035752111797968666,5.0,True,0.5653739607063554,0.18889979403208074,HIGH,79,21.033908937078003,0.00-0.24,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Grant Holmes,656550,4.209018734059028,4,4+,0.20901873405902816,3.0,False,0.6112168913419442,0.3735860882617101,HIGH,77,20.230030645370363,0.00-0.24,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Jacob Misiorowski,694819,6.337775222291999,6,6+,0.33777522229199874,6.0,True,0.6153519600299711,0.147954114652785,HIGH,77,21.30220350706561,0.25-0.49,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Justin Wrobleski,680736,5.040592301170672,5,5+,0.040592301170671696,6.0,True,0.5477007499606525,0.20457461158615614,HIGH,72,21.54922601120775,0.00-0.24,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
