Game_Date,Pitcher,Pitcher_ID,Team,Opponent,Projection,Actual_K,K_Residual,Beat_Projection,Material_Crusher_Event,Confidence,Data_Quality,Opponent_K_Pct,Lineup_State,Starter_Role,Leash_Label,SIM_Mean_K,MATH_Mean_K,SIM_MATH_Disagreement,Projection_SD,Report_Only,Production_Authority,No_Projection_Adjustment,Research_Version
2026-08-15,Logan Webb,657277,SFG,COL,5.51839318904492,7.0,1.4816068109550802,True,False,HIGH,76,22.928116873182663,CONFIRMED,ESTABLISHED,NORMAL,,,,1.9582059104521647,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Brad Lord,695418,WSH,NYM,3.8440168524749634,1.0,-2.8440168524749634,False,False,HIGH,76,22.40127994997025,CONFIRMED,LOW_RECENT_EXPOSURE,TIGHT,,,,1.7633886458206598,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Sean Manaea,640455,NYM,WSH,5.368189786752298,7.0,1.631810213247702,True,False,HIGH,78,22.43566373632261,CONFIRMED,ESTABLISHED,NORMAL,,,,2.1471253572836435,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Kyle Bradish,680694,BAL,TBR,4.529826520715504,3.0,-1.5298265207155044,False,False,HIGH,78,18.273325057568787,CONFIRMED,ESTABLISHED,NORMAL,,,,2.290002445280068,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Ian Seymour,693855,TBR,BAL,5.399951571868048,9.0,3.6000484281319522,True,True,HIGH,65,25.31342791309677,CONFIRMED,ESTABLISHED,TIGHT,,,,2.625954362016848,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Ryan Gusto,687473,MIA,CIN,4.531679633410276,6.0,1.4683203665897242,True,False,HIGH,79,24.735702548816,CONFIRMED,ESTABLISHED,TIGHT,,,,2.1796009955183155,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Brady Singer,663903,CIN,MIA,5.221973800020474,4.0,-1.221973800020474,False,False,HIGH,78,23.56241731301588,CONFIRMED,ESTABLISHED,NORMAL,,,,1.997247419255847,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Joey Cantillo,676282,CLE,SDP,4.399320485164076,7.0,2.6006795148359236,True,True,HIGH,79,20.987560174294828,CONFIRMED,LOW_RECENT_EXPOSURE,TIGHT,,,,2.2555140657836823,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Emerson Hancock,676106,SEA,HOU,5.06781795311276,8.0,2.93218204688724,True,True,HIGH,77,21.287779888728707,CONFIRMED,ESTABLISHED,NORMAL,,,,2.433976335677876,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Hayden Wesneski,669713,HOU,SEA,4.639624601441137,6.0,1.3603753985588627,True,False,MEDIUM,58,19.68465309634883,CONFIRMED,ESTABLISHED,TIGHT,,,,2.2307498843068863,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Jesús Luzardo,666200,PHI,MIN,6.146693838277013,9.0,2.853306161722987,True,True,HIGH,79,20.40438615745381,CONFIRMED,ESTABLISHED,LONG,,,,2.564527695135705,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Connor Prielipp,687570,MIN,PHI,5.01449363583585,6.0,0.9855063641641504,True,False,HIGH,68,21.043805828615547,CONFIRMED,ESTABLISHED,NORMAL,,,,2.1698017931582743,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Sonny Gray,543243,BOS,PIT,5.404713263895313,7.0,1.5952867361046872,True,False,HIGH,77,22.49866327539845,CONFIRMED,ESTABLISHED,NORMAL,,,,2.4741484233488675,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Jared Jones,683003,PIT,BOS,4.369522756824493,7.0,2.6304772431755072,True,True,HIGH,64,20.05680070777109,CONFIRMED,ESTABLISHED,TIGHT,,,,1.899864687874716,True,NONE,True,projection-crusher-shadow-v1-report-only
